DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
1997-6-1,0.016925035,0.1474,0.028001325,0.022349936,0.01825247,0.1536,0.043536118,0.022973835,0,1,1,1
1997-7-1,0.01825247,0.1536,0.043536118,0.022973835,0.016698297,0.1155,0.055187143,0.022292994,0,1,1,1
1997-8-1,0.016698297,0.1155,0.055187143,0.022292994,0.016559814,0.034,0.058185284,0.022250477,0,1,1,1
1997-9-1,0.016559814,0.034,0.058185284,0.022250477,0.016145925,0.0102,0.047606596,0.021546261,0,1,1,1
1997-10-1,0.016145925,0.0102,0.047606596,0.021546261,0.014388392,-0.0131,0.037748929,0.020846494,0,0,0,1
1997-11-1,0.014388392,-0.0131,0.037748929,0.020846494,0.012630125,-0.0105,0.043771918,0.018284994,0,0,1,0
1997-12-1,0.012630125,-0.0105,0.043771918,0.018284994,0.011249932,-0.0105,0.040137318,0.01702396,0,0,0,0
1998-1-1,0.011249932,-0.0105,0.040137318,0.01702396,0.010438611,0.0794,0.036047655,0.015713388,0,1,0,0
1998-2-1,0.010438611,0.0794,0.036047655,0.015713388,0.007802393,0.1009,0.025777586,0.014411028,0,1,0,0
1998-3-1,0.007802393,0.1009,0.025777586,0.014411028,0.006905743,0.0288,0.028498951,0.01375,0,1,0,0
1998-4-1,0.006905743,0.0288,0.028498951,0.01375,0.00715448,-0.0195,0.050314898,0.014357054,0,0,1,0
1998-5-1,0.00715448,-0.0195,0.050314898,0.014357054,0.009014585,-0.0771,0.064155003,0.01686446,0,0,1,0
1998-6-1,0.009014585,-0.0771,0.064155003,0.01686446,0.006866434,-0.0962,0.056978136,0.016843419,0,0,1,0
1998-7-1,0.006866434,-0.0962,0.056978136,0.016843419,0.008755909,-0.074,0.037809037,0.01682243,0,0,0,0
1998-8-1,0.008755909,-0.074,0.037809037,0.01682243,0.009339273,-0.0843,0.028901678,0.016169154,0,0,0,0
1998-9-1,0.009339273,-0.0843,0.028901678,0.016169154,0.006318269,-0.0588,0.035492449,0.014888337,0,0,0,0
1998-10-1,0.006318269,-0.0588,0.035492449,0.014888337,0.007219155,0.0296,0.054811177,0.014851485,0,1,1,0
1998-11-1,0.007219155,0.0296,0.054811177,0.014851485,0.007232234,0.1498,0.058381514,0.015479876,0,1,1,0
1998-12-1,0.007232234,0.1498,0.058381514,0.015479876,0.008450554,0.156,0.065990648,0.016119033,0,1,1,0
1999-1-1,0.008450554,0.156,0.065990648,0.016119033,0.009381891,0.1904,0.068351569,0.016707921,0,1,1,0
1999-2-1,0.009381891,0.1904,0.068351569,0.016707921,0.009319802,0.1286,0.079684279,0.016059296,0,1,1,0
1999-3-1,0.009319802,0.1286,0.079684279,0.016059296,0.009919919,-0.0072,0.078664529,0.017262639,0,0,1,0
1999-4-1,0.009919919,-0.0072,0.078664529,0.017262639,0.01355303,-0.047,0.072104965,0.022769231,0,0,1,1
1999-5-1,0.01355303,-0.047,0.072104965,0.022769231,0.012814358,-0.0128,0.077320524,0.020884521,0,0,1,1
1999-6-1,0.012814358,-0.0128,0.077320524,0.020884521,0.013986201,0.0131,0.071952556,0.019631902,0,1,1,0
1999-7-1,0.013986201,0.0131,0.071952556,0.019631902,0.014178071,0.0069,0.088935538,0.021446078,0,1,1,1
1999-8-1,0.014178071,0.0069,0.088935538,0.021446078,0.014610476,0.0202,0.107332098,0.022643819,0,1,1,1
1999-9-1,0.014610476,0.0202,0.107332098,0.022643819,0.018849101,0.0609,0.100876136,0.026283619,0,1,1,1
1999-10-1,0.018849101,0.0609,0.100876136,0.026283619,0.018343266,0.0859,0.082329839,0.025609756,0,1,1,1
1999-11-1,0.018343266,0.0859,0.082329839,0.025609756,0.01920499,0.1302,0.087774833,0.026219512,0,1,1,1
